Code,Species.Code,Plant.sci,DBH,Number.stems,Landtype
Y13,CHPI,Chamaecyparis pisifera,4,1,yard
Y03,CTCO,Cotinus coggygria,21,7,yard
Y04,DEAD,Dead standing,40,1,yard
Y26,DEAD,Dead standing,20,1,yard
Y03,EUAL,Euonymus alatus,10,7,yard
Y13,EUAL,Euonymus alatus,30,14,yard
Y13,EUAL,Euonymus alatus,30,15,yard
Y24,EUAL,Euonymus alatus,15,1,yard
Y24,EUAL,Euonymus alatus,16,1,yard
Y18,FRAM,Fraxinus americana,60,1,yard
Y25,FRAM,Fraxinus americana,40,1,yard
Y28,FRPE,Fraxinus pennsylvanica,60,1,yard
Y28,FRPE,Fraxinus pennsylvanica,76,1,yard
Y13,GIBI,Ginkgo biloba,2,1,yard
Y03,JABA,Berberis thunbergii,15,20,yard
Y03,LIAM,Linnaea amabilis,15,20,yard
Y47,LOXY,Lonicera xylosteum,19,4,yard
Y13,MGSU,Magnolia soulangeana,30,4,yard
Y13,MGSU,Magnolia soulangeana,17,1,yard
Y24,MABA,Malus baccata,8,1,yard
Y20,MADO,Malus domestica,4,3,yard
Y20,MADO,Malus domestica,3,2,yard
Y26,MADO,Malus domestica,21,1,yard
Y18,MASY,Malus sylvestris,35,1,yard
Y32,MASY,Malus sylvestris,36,1,yard
Y07,MOAL,Morus alba,18,1,yard
Y24,MOAL,Morus alba,8,1,yard
Y06,OSVI,Ostrya virginiana,2,1,yard
Y33,PHCO,Philadelphus coronarius,6,1,yard
Y13,PIAB,Picea abies,10,1,yard
Y18,PIGL,Picea glauca,45,1,yard
Y05,PIPU,Picea pungens,50,1,yard
Y18,PIPU,Picea pungens,27,1,yard
Y18,PIRU,Picea rubens,45,1,yard
Y24,PRCR,Prunus cerasus,5,1,yard
Y44,PRCO,Prunus communis,6,1,yard
Y44,PRJA,Prunus japonica,27,6,yard
Y06,PYCO,Pyrus communis,3,1,yard
Y26,PYCO,Pyrus communis,17,1,yard
Y04,RHCA,Rhamnus cathartica,5,1,yard
Y24,SANI,Sambucus nigra,5,1,yard
Y45,SOAU,Sorbus aucuparia,21,1,yard
Y05,SYRE,Syringa reticulata,20,1,yard
Y13,SYRE,Syringa reticulata,37,3,yard
Y18,SYRE,Syringa reticulata,18,1,yard
Y04,SYVU,Syringa vulgaris,18,1,yard
Y04,SYVU,Syringa vulgaris,12,1,yard
Y04,SYVU,Syringa vulgaris,25,1,yard
Y06,SYVU,Syringa vulgaris,16,4,yard
Y09,SYVU,Syringa vulgaris,36,1,yard
Y20,SYVU,Syringa vulgaris,14,2,yard
Y20,SYVU,Syringa vulgaris,4,1,yard
Y20,SYVU,Syringa vulgaris,6,1,yard
Y20,SYVU,Syringa vulgaris,4,1,yard
Y20,SYVU,Syringa vulgaris,22,4,yard
Y20,SYVU,Syringa vulgaris,5,1,yard
Y25,SYVU,Syringa vulgaris,9,1,yard
Y26,SYVU,Syringa vulgaris,10,1,yard
Y28,SYVU,Syringa vulgaris,17,4,yard
Y28,SYVU,Syringa vulgaris,12,2,yard
Y28,SYVU,Syringa vulgaris,4,1,yard
Y32,SYVU,Syringa vulgaris,14,1,yard
Y33,SYVU,Syringa vulgaris,10,8,yard
Y33,SYVU,Syringa vulgaris,10,7,yard
Y33,SYVU,Syringa vulgaris,10,3,yard
Y47,SYVU,Syringa vulgaris,16,2,yard
Y49,SYVU,Syringa vulgaris,,1,yard
Y05,TACA,Taxus canadensis,7,7,yard
Y13,TACA,Taxus canadensis,13,6,yard
Y13,TACA,Taxus canadensis,11,2,yard
Y13,TACA,Taxus canadensis,5,8,yard
Y18,TACA,Taxus canadensis,18,1,yard
Y44,TACA,Taxus canadensis,102,7,yard
Y44,TACA,Taxus canadensis,86,14,yard
Y03,THOC,Thuja occidentalis,9,1,yard
Y03,THOC,Thuja occidentalis,5,1,yard
Y03,THOC,Thuja occidentalis,12,1,yard
Y03,THOC,Thuja occidentalis,60,10,yard
Y03,THOC,Thuja occidentalis,7,1,yard
Y03,THOC,Thuja occidentalis,5,1,yard
Y05,THOC,Thuja occidentalis,12,3,yard
Y05,THOC,Thuja occidentalis,264,44,yard
Y09,THOC,Thuja occidentalis,10,1,yard
Y09,THOC,Thuja occidentalis,15,1,yard
Y09,THOC,Thuja occidentalis,8,1,yard
Y13,THOC,Thuja occidentalis,8,1,yard
Y13,THOC,Thuja occidentalis,9,1,yard
Y13,THOC,Thuja occidentalis,8,1,yard
Y13,THOC,Thuja occidentalis,10,1,yard
Y13,THOC,Thuja occidentalis,6,1,yard
Y13,THOC,Thuja occidentalis,7,1,yard
Y13,THOC,Thuja occidentalis,5,1,yard
Y13,THOC,Thuja occidentalis,4,1,yard
Y13,THOC,Thuja occidentalis,5,1,yard
Y13,THOC,Thuja occidentalis,8,2,yard
Y13,THOC,Thuja occidentalis,7,1,yard
Y18,THOC,Thuja occidentalis,8,1,yard
Y18,THOC,Thuja occidentalis,29,1,yard
Y18,THOC,Thuja occidentalis,16,1,yard
Y18,THOC,Thuja occidentalis,38,1,yard
Y18,THOC,Thuja occidentalis,23,1,yard
Y18,THOC,Thuja occidentalis,11,1,yard
Y18,THOC,Thuja occidentalis,10,1,yard
Y18,THOC,Thuja occidentalis,10,1,yard
Y18,THOC,Thuja occidentalis,10,1,yard
Y18,THOC,Thuja occidentalis,6,1,yard
Y18,THOC,Thuja occidentalis,12,1,yard
Y18,THOC,Thuja occidentalis,9,1,yard
Y18,THOC,Thuja occidentalis,9,1,yard
Y18,THOC,Thuja occidentalis,9,1,yard
Y18,THOC,Thuja occidentalis,9,1,yard
Y18,THOC,Thuja occidentalis,11,1,yard
Y18,THOC,Thuja occidentalis,12,1,yard
Y18,THOC,Thuja occidentalis,17,1,yard
Y18,THOC,Thuja occidentalis,7,1,yard
Y24,THOC,Thuja occidentalis,27,1,yard
Y24,THOC,Thuja occidentalis,19,1,yard
Y24,THOC,Thuja occidentalis,25,1,yard
Y24,THOC,Thuja occidentalis,26,1,yard
Y24,THOC,Thuja occidentalis,22,1,yard
Y25,THOC,Thuja occidentalis,29,1,yard
Y25,THOC,Thuja occidentalis,15,1,yard
Y31,THOC,Thuja occidentalis,180,30,yard
Y31,THOC,Thuja occidentalis,180,30,yard
Y32,THOC,Thuja occidentalis,13,1,yard
Y32,THOC,Thuja occidentalis,21,1,yard
Y32,THOC,Thuja occidentalis,8,1,yard
Y32,THOC,Thuja occidentalis,5,1,yard
Y32,THOC,Thuja occidentalis,5,1,yard
Y45,THOC,Thuja occidentalis,18,1,yard
Y45,THOC,Thuja occidentalis,7,1,yard
Y47,THOC,Thuja occidentalis,37,1,yard
Y47,THOC,Thuja occidentalis,16,1,yard
Y47,THOC,Thuja occidentalis,10,1,yard
Y47,THOC,Thuja occidentalis,18,1,yard
Y47,THOC,Thuja occidentalis,11,2,yard
Y47,THOC,Thuja occidentalis,22,1,yard
Y49,THOC,Thuja occidentalis,10,1,yard
Y09,TICO,Tilia cordata,14,1,yard
Y04,ULAM,Ulmus americana,18,1,yard
Y18,ULPU,Ulmus pumila,69,1,yard
Y47,ULXXFR,Ulmus pumila,18,1,yard
Y47,ULXXFR,Ulmus pumila,47,1,yard
Y24,WEFL,Weigela florida,19,1,yard
